term,language,definition,categories,target
786,Burmese,Designation for a Muslim or Muslim property.,Religion,Islam
969,Burmese,Designation for a Buddhist or Buddhist property.,Religion,Buddhism
႐ိုလိမ္ညာ,Burmese,Lying dogs the first syllable in this word ro refers to the Rohingya people the rest of the syllables mean liar. This word simply refers to Rohingya people as liar. Rohingya liar.,Religion,Islam
6 gorillion,English,A nonsensical number used by Neo-Nazis to claim that the Holocaust was faked.,Ethnicity,Jews
A-bêng,Min Nan Chinese,An unsophisticated person,Class,
A-bîng,Japanese,,Class,
abachabu,Gusii,Kisii slur for a member of the Luo ethnic group meaning uncircumcised.,Ethnicity,Luo
abagima,Gusii,Kisii slur for a member of the Luo ethnic group meaning uncircumcised.,Ethnicity,Luo
abaisia,Gusii,Kisii slur for a member of the Luo ethnic group meaning uncircumcised.,Ethnicity,Luo
abazungu,Kinyarwanda,An English person.,Ethnicity,English
abba ka naam,Hindi,,Gender,Female
abbo,English,Australian Aboriginal person. Originally this was simply an informal term for Aborigine and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many the pejorative boong is now more commonly used when the intent is to deliberately offend as that words status as an insult is unequivocal.,Ethnicity,
abbos,English,Australian Aboriginal person. Originally this was simply an informal term for Aborigine and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many the pejorative boong is now more commonly used when the intent is to deliberately offend as that words status as an insult is unequivocal.,Ethnicity,
ABC,English,American-born Chinese Australian-born Chinese Letters of the English alphabet,Nationality,Australia
ABCD,English,American-Born Confused Desi Indian Americans Pakistani Americans or other South Asians (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity. First letters of the English alphabet,Ethnicity,
ABCDs,English,American-Born Confused Desi Indian Americans Pakistani Americans or other South Asians (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity. First letters of the English alphabet,Ethnicity,
ABCs,English,American-born Chinese Australian-born Chinese Letters of the English alphabet,Nationality,Australia
abd,Arabic,A person of African descent from the Arabic word for slave,Ethnicity,
abeed,Arabic,Arabic slur for a black person from slave,Ethnicity,
abelungu,Zulu,An English person.,,
abid,Arabic,Arabic slur for a black person from slave,Ethnicity,
abo,English,Australian Aboriginal person. Originally this was simply an informal term for Aborigine and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many the pejorative boong is now more commonly used when the intent is to deliberately offend as that words status as an insult is unequivocal.,Ethnicity,
aboki,Hausa,When used by a non-Hausa: illiterate unintelligent foolish destitute lower-class. Used by those in southern Nigeria to refer to those in the north. When used by a Hausa: friend,Class,
abos,English,Australian Aboriginal person. Originally this was simply an informal term for Aborigine and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many the pejorative boong is now more commonly used when the intent is to deliberately offend as that words status as an insult is unequivocal.,Ethnicity,
achterlijk,Dutch,When used for cultures religions and groups: backward. For individuals also: retarded mentally deficient.,Ethnicity,Islam
achterlijke,Dutch,A mentally disabled person An idiot,Disability,
achterlijken,Dutch,When used for cultures religions and groups: backward. For individuals also: retarded mentally deficient.,Disability,
Adolf,German,A person of German descent from Adolf Hitler.,Nationality,Germany
af,English,An African used by white Rhodesians.,Ethnicity,
African catfish,English,Referring to Muslims in Myanmar as an invasive species,Ethnicity,Islam
African catfishes,English,Referring to Muslims in Myanmar as an invasive species,Ethnicity,Islam
africant,English,A lazy or unemployed black person.,Ethnicity,
africants,English,,Ethnicity,African American
Africoon,English,Combination of African and coon.,Ethnicity,
Africoons,English,Combination of African and coon.,Ethnicity,
Afro-Saxon,English,Caucasian person who acts black,Ethnicity,
Afro-Saxons,English,Caucasian person who acts black,Ethnicity,
afs,English,An African used by white Rhodesians.,Ethnicity,
Ah Beng,Chinese,An unsophisticated person,Class,
Ah Lian,Japanese,,Class,
Ahab,English,An Arab Reference to character of Ahab in Moby Dick,Ethnicity,Arabs
Ahabs,English,From Moby-Dick. Ahab hunted the white whale.,,
āhira,Arabic,Whore,Gender,Female
āhirāt,Arabic,Whore,Gender,Female
ählämi,Finnish,An Arabic person.,Ethnicity,Arabs
ählämit,Finnish,An Arabic person.,Ethnicity,Arabs
Ainu,Japanese,A primitive person A native Japanese islander from Hokkaido,Ethnicity,
Ajam,Arabic,Ajam means non-Arab specifically Persian. It might be used in a racist way against Persians.,Nationality,Iran
ajayee,Kamba (Kenya),Kamba slur for members of the Maasai ethnic community from smelly.,Ethnicity,Maasai
akata,Yoruba,Pejorative term for African-Americans from wild animal or jackal,Nationality,United States
akhbaroshim,Hebrew,Combination of the word Arabwith the end of the Hebrew word rats,Ethnicity,
albino,English,A Caucasian person. One who is born with an absence of skin and hair pigmentation,Ethnicity,
albinos,English,A Caucasian person. One who is born with an absence of skin and hair pigmentation,Ethnicity,
albo,English,An Albanian,Nationality,Albania
alboes,English,,Nationality,Albania
albos,English,,Nationality,Albania
Allelluya group,Tamil,Muslim,Religion,Islam
alligator bait,English,A black person especially a black child. More commonly used in states where alligators are found particularly Florida. First used in the early 20th century although some hypothesize the term originated in the late 19th century.,Ethnicity,
allochtoon,Dutch,Non-Dutch in Flanders non-Flemish. Originally a neutral official term but acquired negative connotations and is widely used in a derogatory sense.,Ethnicity,
almajirai,Hausa,Beggar.,Class,
almajiri,Hausa,Beggar.,Class,
alman,Turkish,German person acting in accordance with national stereotypes Word for German in various langauges,Nationality,Germany
Amabujwa,Swahili,Slang in South Africa for bourgeois,Class,
Amabujwas,Swahili,,Class,
amakwerekwere,Afrikaans,A foreigner usually intended without offence,Nationality,
amariconada,Spanish,Gay or effeminiate,Gender,Female
amariconadas,Spanish,Gay or effeminiate,Gender,Female
amariconado,Spanish,Gay or effeminiate,Gender,Male
amariconados,Spanish,Gay or effeminiate,Gender,Male
amariconar,Spanish,To become gay,Gender,Homosexual
amariconé,Spanish,To become gay,Gender,Homosexual
amaricono,Spanish,To become gay,Gender,Homosexual
ambattar,Tamil,Unclean caste person,Class,
ame koh,Japanese,An American.,Nationality,United States
Americoon,English,Combination of American and coon,Ethnicity,
Americoons,English,Combination of American and coon,Ethnicity,
AmeriKKKan,English,An American denoting racist or fascist stereotypes,Nationality,United States
Ami,German,Shortened from American sometimes derogative.,Nationality,United States
Amo,English,An Amish person.,Religion,Christianity
Amos,English,An Amish person.,Religion,Christianity
anã,Portuguese,Dwarf,Disability,
anaalridder,Dutch,,Sexual Orientation,Homosexual
anaalridders,Dutch,,Sexual Orientation,Homosexual
anaaree,Hindi,,Class,
anak yatim,Indonesian,An uneducated person A fatherless/motherless person,Class,
analfabet,Catalan,Catalan Danish Serbo-Croatian Swedish A poor and/or illiterate person,Disability,
